2,This Website Said You Should Have Double Your Salary Saved By 35 And Twitter Lost Its Shit,buzzfeed,These responses are #waytooreal.,,,
2,Choose Between These Disney Rides And We'll Guess Your Age And Location,buzzfeed,We know you'd rather be at the happiest place on Earth.,,,
1,"Fortnite: Duck Locations, Salty Springs Treasure Map, and Week 3 Challenges - IGN Video",ign,Season 4 Week 3 challenges are here and we have got you covered. Check out the video to find the rubber duck locations and the salty springs treasure map!,,,
8,Robert Mueller scores a victory as federal judge allows criminal case against Paul Manafort to move forward,business-insider,"US district judge Amy Jackson declined to throw out the indictment from the case again President Donald Trump's former campaign chairman Paul Manafort, who face",,,
8,16 People Who Just Fucking Went For It,buzzfeed,Featuring some iconic shot-shooters.,,,
9,N. Korea warns US over fate of Trump summit - CNN Video,cnn,"North Korea says the US should carefully consider the fate of the North Korea-US summit in light of ""provocative"" drills with South Korea, North Korean state news agency KCNA reports.",,,
8,Toobin: What you need to know about Tom Wolfe,cnn,"Behind the look-at-me white suit was a brilliant reporter -- a meticulous and patient observer of the chaotic world around him and the rarest bird in American letters, a master of both nonfiction and fiction, Jeffrey Toobin says.",,,
9,Selling Planes To Iran Could Have Saved Lives. Exiting The Nuclear Deal Will Make That Harder.,the-huffington-post,"After the nuclear deal, Iran hoped to replace more than 200 of its planes. It has only received 11.",,,
1,Review | The young Han Solo movie is here. And let's just say a robot is the best part.,the-washington-post,"Alden Ehrenreich is a much different Solo than Harrison Ford was, but he couldn't save this mechanical prequel.",,,
8,Trump's Attempt to Shame Drugmakers Shows Medicare Costs Soaring,bloomberg,"The U.S spent 60 percent more on drugs for Medicare patients in 2016 than it did in four years earlier, according to newly released federal data, countering pharmaceutical industry arguments that prescription medicine represents only a small and stable portion of health-care costs.",,,
4,Two Sides to Flipping the Volcker Rule,bloomberg,The onus will be on regulators to prove that banks are prop trading and not market-making.,,,
9,Advice for Malaysia's Former and Current Prime Minister,bloomberg,"Going after corruption will make for good headlines, at least at first. Don't take that bait.",,,
3,What if Wall Street is waiting for the wrong disaster?,business-insider,"OPINION: After a combo of a weak USD and wage growth stoked inflation fears in the beginning of the year, maybe we started worrying too much about the wrong thi",,,
4,Verizon once had big plans to compete with Amazon's cloud juggernaut - now it's a big Amazon cloud customer,business-insider,BI PRIME: Verizon had been an under-the-radar customer of Amazon Web Services since just before it quietly shuttered its own cloud computing ambitions. But it i,,,
2,"31 Things That'll Make You Say, ""Why Don't I Own That Already?""",buzzfeed,From perfect summer dresses to mathematical wall clocks to Disney face masks: an eclectic mix of some *really awesome* things.,,,
4,Tesla is reportedly losing two energy leaders amid Musk's reorganization,cnbc,"Tesla's energy unit lost two executives after CEO Elon Musk announced a ""thorough reorganization"" of the company, Bloomberg reported.",,,
3,Bill Ackman reveals size of United Technologies stake,cnbc,Bill Ackman's Pershing Square revealed in a regulatory filing it bought nearly 2 million shares of United Technologies in the first quarter.,,,
9,Sources: Trump sought to evacuate military families from South Korea before Olympics,cnn,President Donald Trump believes next month's historic summit with Kim Jong Un could end the decades-old threat of North Korea's nuclear program.,,,
8,1 person killed in explosion at California medical facility,cnn,"Federal officials are responding to the scene after one person was killed in an explosion at a medical building in Aliso Viejo, California.",,,
1,Borderlands 3 E3 Speculation Potentially Shut Down by Gearbox - IGN,ign,Gearbox Software CEO Randy Pitchford takes fans through a magical metaphor to reveal Borderlands 3 (probably) won't be at E3.,,,
1,Justice League: Henry Cavill on 'Ridiculous' Superman Marketing and Mustache - IGN,ign,Henry Cavill seems to agree Superman should've been in the film's marketing.,,,
6,Vasyl Lomachenko: Is the Ukraine fighter one of the world's leading sportsmen?,bbc-sport,Is Vasyl Lomachenko one of the world's leading sportsmen? Mike Costello and Steve Bunce dissect his brilliance in the ring.,,,
9,"The Taliban is attacking the Afghan capital of Farah province, forcing the US to send in A-10s",business-insider,"The Taliban, equipped HUMVEEs and Afghan police pickup trucks, attacked multiple Farah City checkpoints and took over an intelligence headquarters.",,,
7,THE BLOCKCHAIN IN BANKING REPORT: The future of blockchain solutions and technologies,business-insider,"This research report from Business Insider Intelligence outlines why and in what ways banks are exploring blockchain technology, provides details on three major",,,
5,The Trump administration is pushing the US further away from Europe and key allies in its response to the Gaza crisis,business-insider,The Trump administration's response to the violence in Gaza this week once again places it at odds with Europe and key US allies.,,,
4,UBS has assigned one of its top traders to a team building the fixed income 'business of the future',business-insider,"BI PRIME: A top UBS trader has been tasked with leading a team to build the fixed income ""business of the future."" Christopher Purves, formerly co-head of FICC",,,
8,Train cancellations at New York's Grand Central Terminal set off major travel delays,business-insider,Train service cancellations at the Grand Central Terminal in New York City prompted major travel delays on Tuesday evening as severe thunderstorms moved through,,,
5,Former top government ethics official: Payments companies made to Trump lawyer Michael Cohen were like nothing I've ever seen,business-insider,"Walter Shaub, the former director of the Office of Government Ethics, said the payments a handful of companies were revealed to have made to President Donald Tr",,,
1,Eagles player says Bill Belichick and Robert Kraft trash-talked the Eagles before the Super Bowl and it fueled his team,business-insider,"Lane Johnson grew tired of hearing about the Patriots exploits and said the team was fueled by Bill Belichick and Robert Kraft ""talking s---"" to the Eagles owne",,,
4,"Warren Buffett says he 'blew it' when he didn't invest in Amazon early, and the regret is what keeps him from investing today",business-insider,"Warren Buffett says he ""blew it"" when it came to investing in one of the tech world's biggest juggernauts: Amazon. He's been watching Amazon since the beginning",,,
8,Baby boomers could be to blame for the US housing shortage,business-insider,"With baby boomers living longer and staying in their homes, and the housing market is facing a housing shortage.",,,
8,14 College Graduation Fails From This Year That Are Fucking Hilarious,buzzfeed,"These grads literally put their blood, sweat, and tears into graduating.",,,
8,These High School Students Pulled Off The Most Absurdly Elaborate Senior Prank,buzzfeed,It even fooled the police at first.,,,
2,37 Surprisingly Easy Ways To Change Your Look,buzzfeed,"When you feel more than ready for a makeover but don't really want to DO anything about it, these tips are for you.",,,
3,David Einhorn's Greenlight takes on stakes in Office Depot and Abercrombie,cnbc,"The hedge fund reported holding 2.1 million shares of Office Depot and 212,500 shares of Abercrombie as of the end of the first quarter",,,
3,"10-year Treasury yield spikes, spooking the stock market",cnn,"Here we go again: Treasury yields are spiking, and unsettling the stock market along the way.",,,
6,Warriors turn page on opener: 'Only one game',espn,"A day after their Game 1 win in Houston, Golden State players were on the same page, noting that this Western Conference finals series versus the Rockets is far from over.",,,
1,Did Rage 2 Just Steal Borderlands 3's Thunder? - IGN Video,ign,"Against all odds, Rage 2 is a thing and actually looks pretty cool. But where is Borderlands 3?",,,
1,Venom Writer Explains How He Made Eddie Brock Fear the Symbiote - IGN Video,ign,Venom #1 opened up the symbiote's mythology in a very scary way. Writer Donny Cates and Marvel EIC C.B. Cebulski explain how they did it.,,,
1,"STALKER 2 announced, scheduled for 2021 release",polygon,"'Get out of here, STALKER'",,,
3,U.S. Crypto Trading Platforms Are About to Get More Competition,bloomberg,Cryptocurrency trading platform eToro plans to open its doors to U.S. investors.,,,
5,INSIDE TRUMP'S MEETING WITH SENATE REPUBLICANS: President brings up trade deals the GOP keeps fretting about,business-insider,"President Donald Trump joined Senate Republicans for their weekly policy lunch on Tuesday, where he discussed a litany of issues he wants lawmakers to focus on",,,
8,A 'corporate freeloader fee' to penalize companies that employ low-wage workers is a bad idea,business-insider,"Opinion: Sen. Sherrod Brown has proposed a ""corporate freeloader fee"" on large companies that employ large numbers of low-paid workers. The objectives of this p",,,
2,Here's How To Turn Your Avocado Trash Into Millennial Pink Fabric Dye,buzzfeed,Sounds fake but OK...,,,
2,"Order Food At A Diner And We'll Tell You Which ""Riverdale"" Character You Are",buzzfeed,The truth is in the milkshakes.,,,
3,10-year Treasury yield can get to 4 percent before it punishes stocks: J.P. Morgan strategist,cnbc,"The 10-year Treasury yield can get to 3.5 percent with ""no trouble at all"" for stocks, strategist Samantha Azzarello says.",,,
1,"Star Wars Toys are Better Again, Sort Of - IGN",ign,Han Solo standalone movie toys like the Millennium Falcon are improvements over Star Wars toys like the Force Awakens line.,,,
1,Fortnite Rubber Duckies Locations and Map - Season 4 Challenges Week 3 - Fortnite Wiki Guide - IGN,ign,"Fortnite Rubber Duckies Locations and Map - Season 4 Challenges Week 3 - Fortnite: Week 3 Challenges for Fortnite Battle Royale's Season 4 are almost here and this page lists tips and tricks to completing each and every one, includi...",,,
1,Sony at E3 2018 - E3 - Electronics Entertainment Expo Wiki Guide - IGN,ign,"Sony at E3 2018 - E3 - Electronics Entertainment Expo: Sony's PlayStation E3 2018 Press Conference is on its way with a focus on four core products. Find out what they are, when and where you can watch So...",,,
8,Justice Department and F.B.I. Are Investigating Cambridge Analytica,the-new-york-times,Federal prosecutors have sought to question former employees of the now-defunct political data firm and banks that handled its business.,,,
5,Pennsylvania Primary Election Results,the-new-york-times,See full results and maps from the Pennsylvania primaries.,,,
8,This conservative Christian guide to the nation's capital vows to tell you what other tours won't,the-washington-post,A 'Christian history' tour aims to put God back into Washington.,,,
5,The Newest Star Of The Trump Movement  Ran A Trump-Bashing Publication -- Less Than Two Years Ago,buzzfeed,"A rising star on the right, Owens was CEO of a site that compared Trump to Hitler and speculated that he has a small penis.",,,
3,Cramer Remix: The one stock that is being unjustly overlooked,cnbc,Jim Cramer details why shares in Disney have been stuck in this market.,,,
7,Space mining could become a real thing - and it could be worth trillions,cnbc,"The race to space has been rooted in tourism and exploration in recent years, but new developments have made space-mining a legitimate possibility.",,,
6,"'A National now,' Harper dodges free agency talk",espn,"Bryce Harper says his focus remains on the Nationals as the team prepares to face the Yankees, one of the many clubs with potential interest in the future free agent.",,,
4,Elliott and the Art of Nonsense Hyundai Numbers,bloomberg,The chaebol is using tenuous assumptions to justify an ugly deal.,,,
9,Gulf widening between US and key allies over Gaza,cnn,"The gulf between Washington and the rest of the world widened Tuesday as a majority of UN countries expressed their distress and anger about violence along the Israeli-Gaza border, while US Ambassador to the UN Nikki Haley offered a staunch defense of Israel and blamed Hamas.",,,
9,Jerusalem and Gaza -- A world apart,cnn,"Israelis and Palestinians live next to each other, but couldn't be farther apart. At no time is that on clearer, starker display than this week.",,,
9,This is why Gazans won't back down,cnn,"Gazans continue to protest in the face of violence and death, says Brian Barber, because they are fighting back against dehumanization and marginalization.",,,
9,The history of Gaza in 2 minutes - CNN Video,cnn,Find out why this small strip of land has been through so many conflicts and political upheavals since the end of World War II.,,,
6,Messi: Neymar to Real would be 'huge blow',espn,"Lionel Messi says it would be a ""huge blow"" if former Barcelona teammate Neymar swapped Paris Saint-Germain for Real Madrid.",,,
1,"S.T.A.L.K.E.R. 2 Revealed, Coming in 2021 - IGN",ign,The game has endured a tough development cycle and was previously announced and later cancelled in 2011.,,,
1,Destiny 2: Redrix Claymore Gameplay Impressions - IGN Video,ign,The hard to get Redrix Claymore may be the best legendary weapon in Destiny 2 to date. Here's why you'll want it.,,,
5,Game Over: Gina Haspel On Track To Be Confirmed As CIA Director,the-huffington-post,Democrats have lost the debate over torture after two Democratic senators said they plan to back Haspel's confirmation.,,,
5,Primary elections: Barletta seeks GOP Senate nomination as Democrats eye Pennsylvania results,the-washington-post,"The party must settle some divisive and crowded primaries Tuesday. Idaho, Nebraska and Oregon also select nominees for November's midterm elections.",,,
5,Analysis | Four mold-breaking candidates to know ahead of Tuesday's primaries,the-washington-post,Some are hoping to break the mold, others will be a bellwether for national politics.,,
5,"Democrats are starting to angle for 2020, even if they deny it",the-washington-post,"Long before the sound of the starting gun, dozens of potential 2020 Democratic presidential candidates have already hit the road to workshop their vision, experiment with catchphrases and test policy ideas.",,,
9,Canada protects largest coniferous forest,bbc-news,The conservation zone is the home to a number of threatened species like the woodland caribou.,,,
2,These Hilariously Honest Photos Show What It's REALLY Like Being A Mom,buzzfeed,Sitting on the toilet with a baby on your lap? Check.,,,
1,"17 Perfectly Amazing Pics The Cast Of ""Game Of Thrones"" Took Behind The Scenes",buzzfeed,#GOTLIFE,,,
9,Israel defends Gaza crackdown as Palestinians bury their dead,cnn,"Thousands of Palestinians gathered Tuesday for the grim task of burying the 60 protesters killed by Israeli troops at the Gaza border, as Israel faced international condemnation over the deaths.",,,
1,Sennheiser GSP 600 Gaming Headset Review - IGN,ign,Sennheiser GSP 600 Gaming Headset offers big sound an an equally big price tag. We've put it through its paces in our full review.,,,
8,Judge Overturns California's Right-To-Die Law,the-huffington-post,The state attorney general has five days to file an emergency appeal challenging the ruling.,,,
1,'Meghan had a certain sparkle',bbc-news,The royal bride's former teachers and first boyfriend recall her as a brave and passionate teen.,,,
9,Controversial Russia-Crimea bridge opens,bbc-news,The $3.7bn (?2.7bn) bridge links southern Russia with the territory it annexed in 2014.,,,
9,Anne Frank's 'dirty jokes' uncovered,bbc-news,"Two pages of the teen's diary, glued over with brown paper, have finally been revealed.",,,
7,Ovary syndrome solution 'identified',bbc-news,"A common cause of infertility may be due to a hormonal imbalance before birth, researchers say.",,,
9,India flyover collapse kills at least 18,bbc-news,Cars were crushed beneath tonnes of concrete when a pillar for the under-construction road toppled.,,,
9,Meghan and Harry's graffiti makeover,bbc-news,Meet the street artist who's whipped out his spray can for the royal wedding - in the name of true love.,,,
4,Investors Cut Apple Holding by Most Since at Least '08,bloomberg,Institutional investors haven't been this skeptical on Apple Inc. since at least the financial crisis.,,,
9,"Japan's Economy Contracts, Snapping a Two-Year Growth Streak",bloomberg,"Japan's economy shrank for the first time in two years during the first quarter, contracting more than expected on a surprise fall in business spending. Yet economists expect a rebound in the current quarter as the global economy regains traction.",,,
7,"Here's The Science Behind The ""Yanny"" And ""Laurel"" Recording That Is Dividing Us",buzzfeed,"Like ~The Dress~ photo, the recording is a low quality piece of media and it's messing with your brain.",,,
2,Everyone Is A Combo Of Two Famous Chrises - Who Are You?,buzzfeed,Are you more of an Evans-Hemsworth or an Evans-Pratt?,,,
4,"There's one trait tech companies are after - and it has nothing to do with IT, says PayPal's global head of people",cnbc,"Technical skills will always have their place, but there's one behavioral characteristic tech companies are after, says PayPal's Doniel Sutton.",,,
8,Texas doctor faces $240 million health care fraud case,cnn,"A federal indictment charges Dr. Jorge Zamora-Quezada with involvement in a $240 million health care fraud case that funded a ""lavish"" and ""opulent lifestyle.""",,,
8,Check out how much Medicare spends on drugs,cnn,The Centers for Medicare & Medicaid Services released data on drug spending and prices.,,,
6,"Saban: Despite claims, UCF didn't earn any title",espn,"Alabama coach Nick Saban dismisses UCF's claim to the national title, saying ""self-proclaimed is not the same as actually earning it."" He says UCF isn't being  fair to those who went through the system and earned it.",,,
9,'I Hope at Least That Each Bullet Was Justified.' Israelis Reflect on Death in Gaza.,the-new-york-times,"A day after their soldiers killed 60 mostly unarmed Palestinians in Gaza, Israelis were defiant, defensive or blas?.",,,
9,"For Meghan Markle's American Family, a Relentless U.K. Glare",the-new-york-times,"Ms. Markle's father, in particular, has been the focus of a litany of unflattering tabloid reports. The latest: He may not attend the wedding at all.",,,
9,Japan's economy shrinks by 0.6%,bbc-news,The world's third-largest economy shrinks for the first time in two years amid slower private consumption.,,,
1,24 '80s Movie Characters Responsible For Our Sexual Awakenings,buzzfeed,"*""Take My Breath Away"" by Berlin plays softly in the distance.*",,,
5,Ivanka Trump mocked for smiling at embassy opening - CNN Video,cnn,"Donald Trump biographer Michael D'Antonio says Ivanka Trump's presence at the opening of the new US Embassy in Jerusalem was ""intended as a smokescreen"" and that she is often tasked with softening the image of her father.",,,
5,Democrats may be approaching a turning point on Israel,cnn,There are few issues as contentious in international politics as the Israeli-Palestinian conflict.,,,
1,Boss Key Head Reveals Art for Unproduced Games After Studio Closure - IGN,ign,Cliff Bleszinski showed off some concept art from the recently-closed Boss Key studio's unreleased games.,,,
8,Suspect in Massive CIA Leak Identified,the-wall-street-journal,"The Federal Bureau of Investigation suspects that a former Central Intelligence Agency employee separately charged with possessing child pornography had a role in the unauthorized release of a trove of CIA hacking tools to the WikiLeaks website last year, according to a court transcript.",,,
4,"SoftBank's Son Eyes Another $100 Billion for Fund 2.0, Sources Say",bloomberg,"Masayoshi Son, the founder and chief executive officer of SoftBank Group Corp., is already thinking about his next $100 billion venture -- a version 2.0 of the world's biggest technology fund, according to people familiar with the matter.",,,
8,A dangerous major volcanic eruption may be imminent at Hawaii's Kilauea Volcano,business-insider,"A major volcanic eruption is imminent or underway the USGS said on Tuesday. Kilauea Volcano ""may become more explosive, increasing the intensity of ash producti",,,
8,Can You Guess How Much Groceries Cost 100 Years Ago?,buzzfeed,And to think I had to pay $5.75 for a bottle of water at the movie theater yesterday.,,,
1,"The Flash: ""Think Fast"" Review - IGN",ign,"Let us know what you thought of tonight's episode, as DeVoe's doomsday weapon neared completion.",,,
1,Marvel Studios Moving Forward with Eternals Movie - IGN,ign,Marvel Studios has hired writers to work on Eternals script.,,,
1,How Solo's Rotten Tomatoes Score Compares to Other Star Wars Movies - IGN,ign,Solo: A Star Wars story is maintaining a fresh Rotten Tomatoes score as reviews come in.,,,
9,Violence Ebbs but Tensions Do Not in Gaza,the-new-york-times,Doctors struggled to treat the wounded. Funerals surged through deserted streets. And tensions lingered that the crisis could escalate.,,,
5,Trump officials faulted climate panel for having only 'one member from industry',the-washington-post,New documents shed light on administration's move last year to disband federal advisory committee.,,,
9,Rare blue diamond sells for $6.7m,bbc-news,The Farnese Blue has spent the past 300 years in the collections of European royal families.,,,
7,Body clock linked to mood disorders,bbc-news,Researchers say it is a warning to urban societies becoming less in tune with nature.,,,
3,"U.S. 10-Year Yields Will Be in 3%-3.5% Range, Pimco's Mead Says",bloomberg,"U.S. 10-year Treasury yields will be in the 3 percent to 3.5 percent range for the rest of the year, Robert Mead, co-head of Asia-Pacific at Pacific Investment Management Co., said at the Bloomberg Invest summit in Sydney.",,,
2,Are You More Yanny Or Laurel?,buzzfeed,You can only be one.,,,
8,Fox News settles swath of lawsuits for around $10 million,cnn,Fox News is settling 18 racial and gender discrimination lawsuits for around $10 million.,,,
1,Paladins: Champions of the Realm Review - IGN,ign,Player choice is at the heart of what makes this hero shooter tick.,,,
9,N Korea threatens to cancel Trump summit,bbc-news,North Korea says it may pull out of talks with the US if Washington insists it gives up nuclear weapons.,,,
9,Malaysia's Anwar Ibrahim freed from jail,bbc-news,"Malaysian politician Anwar Ibrahim freed from jail after being pardoned, paving the way for his return to politics",,,
4,"Superman, the Oracle, and the Value of a Long View",bloomberg,"Li Ka-shing bowed out with a 5,000-fold return over 46 years.",,,
2,"27 Hilarious Tweets About The ""Yanny Vs Laurel"" Thing",buzzfeed,"""You either die a Yanny or live long enough to see yourself become a Laurel.""",,,
9,"North Korea says it rejects Libya-style denuclearization: Reuters, citing South Korean news agency",cnbc,It also says it will need to reconsider negotiations with the U.S. if the Trump administration insists on it giving up its nuclear program.,,,
7,Why 'Bitcoin Jesus' is so bullish about Bitcoin cash,cnbc,"Bitcoin.com CEO Roger Ver, aka ""Bitcoin Jesus,"" says bitcoin cash is faster and more reliable than bitcoin core.",,,
4,Walmart and Lord & Taylor ready for new web store rollout,cnbc,The two companies are preparing to launch a new shopping experience on Walmart.com.,,,
4,"Prime members, the new Whole Foods deals start today (in Florida)",cnbc,"Amazon is offering Prime members extra 10 percent off in Whole Foods Stores, along with other perks.",,,
9,North Korea threatens to cancel Trump summit over US nuke demands,cnn,"North Korea has threatened to abandon planned talks between leader Kim Jong Un and US President Donald Trump in June if Washington insists on pushing it ""into a corner"" on nuclear disarmament.",,,
9,Trump and Kim: What could go right (or wrong)? - CNN Video,cnn,US President Donald Trump has agreed to meet North Korean leader Kim Jong Un. CNN's Will Ripley takes a look at what it all means.,,,
8,Powerful storms kill two people in Northeast,cnn,"Severe storms in the Northeast have claimed two lives Tuesday and left thousands without power, city officials said.",,,
9,"Putin opens new bridge, defies the world - CNN Video",cnn,"Russian President Vladimir Putin officially opened the Kerch Strait bridge connecting Russia with the Crimean peninsula, which was annexed by Russia in 2014. CNN's Matthew Chance reports.",,,
6,"Suns land No. 1 overall pick; Kings, Hawks next",espn,"After winning just 21 games this season, the Suns got their biggest win of the year Tuesday, grabbing the No. 1 overall pick in June's NBA draft.",,,
6,"Piscotty rejoins Athletics, homers in first at-bat",espn,Athletics outfielder Stephen Piscotty returned to the lineup Tuesday after the club reinstated him from the bereavement list.,,,
1,"The Flash: ""Think Fast"" Review - IGN",ign,The penultimate chapter of Season 4 added interesting new wrinkles to Clifford DeVoe's master plan.,,,
1,Cobra Kai Receives Highest Ratings Ever for YouTube Red - IGN,ign,A YouTube Red show tops the data for the first time.,,,
9,Hundreds In Israel And Beyond Protest Killings Of Palestinians On Gaza Border,the-huffington-post,Israeli military forces killed some 60 Palestinian demonstrators on Monday.,,,
5,EMILY's List-Backed Lawyer Wins Democratic Primary In Pennsylvania Swing District,the-huffington-post,Susan Wild would be the first woman to represent the Lehigh Valley in Congress.,,,
5,Conservatives Cook Up Farm Bill Gambit to Get Vote On Hardline Immigration Bill,the-huffington-post,This is getting very House of Cards-y.,,,
9,North Korean Statement on Meeting with Trump,the-new-york-times,The North's Ministry of Foreign Affairs released a statement on Wednesday threatening to call off a meeting with the United States.,,,
5,Tantalizing Testimony From a Top Trump Aide Sets Off a Search for Proof,the-new-york-times,The aide said he remembered getting an email about Russian dirt on Hillary Clinton well before compromising Democratic emails were released. No one can find the message he mentioned.,,,
5,Victories by Women Buoy Hopes of Democratic Gains in Pennsylvania,the-new-york-times,"Seeking to tap into grass-roots rejection of President Trump, Democrats want to reclaim House seats in a state Mr. Trump narrowly won in 2016",,,
5,At Least Two Women Favored to Win House Seats in Pennsylvania After Primary Victories,the-wall-street-journal,"Pennsylvania Democrats will have at least two women favored to win House races in November after they won primary contests Tuesday, which could diversify the nation's largest all-male congressional delegation.",,,
9,Two bloody days at the border,the-washington-post,Tens of thousands of Palestinians gathered near the fence separating Gaza from Israel. More than 60 Palestinians were killed by Israeli security forces after the demonstrations turned violent.,,,
5,Trump's pick to run Labor's pension agency: Mitch McConnell's brother-in-law,the-washington-post,"""This seems to be another example of who you know rather than what you know,"" a government ethics expert said.",,,
8,The US Justice Department and FBI are reportedly investigating Cambridge Analytica,business-insider,The US federal agencies are digging into the now-defunct data operation which is embroiled in a scandal over its use of Facebook user data. It was revealed earl,,,
4,"Google and Facebook will be big winners if casinos 'scorch the earth' on marketing after the federal ban on sports betting was overturned (FB, GOOGL)",business-insider,"Google and Facebook will be big winners if casinos 'scorch the earth' on marketing after the federal ban on sports betting was overturned (FB, GOOGL)",,,
4,Trump's controversial ZTE order came days after the Chinese government provided millions to a Trump Organization-tied project,business-insider,Within three days of the Chinese government agreeing to provide $500 million in loans to an Indonesian theme park that the Trump Organization has a deal to lice,,,
9,"It's been a year since one of Mexico's most renowned journalists was gunned down, and the unsolved case points to a sinister shift in the drug war",business-insider,"Javier Valdez, renowned for his coverage of Mexico's drug war and its victims, was gunned down on May 15, 2017, and while authorities have made progress in his",,,
9,Friedman: N. Korea has sold this carpet before - CNN Video,cnn,"Tom Friedman talks with CNN's Anderson Cooper about North Korea's warning over talks with President Donald Trump, claiming ""one will be truly bowled over if they actually agree to a verifiable denuclearization plan.""",,,
4,Prime Perks: Amazon Dangles Discounts For Whole Foods Shoppers,the-wall-street-journal,"Amazon.com is offering new discounts for Prime members shopping at its Whole Foods grocery stores, adding another perk to its membership program after a 20% price hike.",,,
2,"Youth Suicidal Behavior Is on the Rise, Especially Among Girls",the-wall-street-journal,"The proportion of young people treated for suicidal thoughts or attempts more than doubled between 2008 and 2015 at 31 U.S. children's hospitals, with nearly two-thirds of the visits involving girls, a study found.",,,
9,US remains hopeful about N Korea summit,bbc-news,"North Korea says it may cancel the meeting after a top Trump aide's ""reckless"" remarks.",,,
5,Trump Tower meeting documents released,bbc-news,The 2016 meeting is a part of the ongoing Russia meddling investigation by the Justice Department.,,,
9,Did Israel use excessive force at Gaza protests?,bbc-news,Israeli troops have been criticised for using live fire in response to Palestinian protests in Gaza.,,,
1,New Girl bids 'bittersweet' farewell,bbc-news,The two-part series finale of Zooey Deschanel's comedy show has aired in the US - with a twist.,,,
9,Italy's populists aim to challenge EU,bbc-news,The parties say they are close to a government deal and one plan is to wipe out billions in debt.,,,
8,Mystery blast kills woman in California,bbc-news,Reports say a package may have caused the explosion at a building south of Los Angeles.,,,
2,'Laurel' or 'Yanny'? People can't decide,bbc-news,A widely-shared audio 'illusion' has divided the internet into two camps: the Yannies and the Laurels.,,,
6,England World Cup squad: Liverpool's Trent Alexander-Arnold in Gareth Southgate's squad,bbc-sport,England manager Gareth Southgate names uncapped Liverpool defender Trent Alexander-Arnold in his 23-man squad for the World Cup.,,,
6,Allardyce leaves Everton & England squad named,bbc-sport,"Reaction as Sam Allardyce leaves Everton, Gareth Southgate set to name England World Cup squad, transfer rumours, social media, plus more.",,,
6,Giro d'Italia: Simon Yates extends lead with stage 11 victory,bbc-sport,Britain's Simon Yates puts in a sublime late attack to win his second stage of the Giro d'Italia and extend his advantage in the leader's pink jersey.,,,
6,Ray Wilson: England World Cup-winning defender dies,bbc-sport,"Former Huddersfield and Everton left-back Ray Wilson, a member of England's 1966 World Cup-winning team, dies, aged 83.",,,
6,Sam Allardyce: Everton manager leaves club after six months in charge,bbc-sport,Sam Allardyce leaves as Everton manager after six months in charge at Goodison Park.,,,
6,Three fined for England rugby coach abuse,bbc-sport,"Three men from Edinburgh shouted ""vile"" abuse at Eddie Jones, a court hears.",,,
6,Italian Open: Johanna Konta beats Hsieh Su-wei to set up meeting with Jelena Ostapenko,bbc-sport,Johanna Konta faces French Open champion Jelena Ostapenko in the third round of the Italian Open after beating Hsieh Su-wei in straight sets.,,,
6,Marseille v Atletico Madrid,bbc-sport,"Marseille captain Dimitri Payet wants his side to ""write their names"" in the history books by beating Atletico Madrid in the Europa League final.",,,
6,David Warner: Former Australia vice-captain to play club cricket during ban,bbc-sport,Ex-Australia vice-captain David Warner will resume his club career with Randwick Petersham while serving a year-long ban for ball-tampering.,,,
6,Lucas Glover: Wife charged after ex-US Open champion injured in 'altercation',bbc-sport,"Former US Open champion Lucas Glover's wife is charged after he was hurt in an ""altercation"" following his early exit from the Players Championship.",,,
9,Canada to Give Update on Kinder Morgan's Trans Mountain Pipeline,bloomberg,Canada's finance minister is set to give his most detailed look at talks with Kinder Morgan Inc. over its Trans Mountain oil pipeline.,,,
3,Williams Says Fed's Era of Market Hand-Holding Is Nearing an End,bloomberg,It's almost time for the Federal Reserve to stop holding the market's hand.,,,
3,"'Wolf of Wall Street' Jordan Belfort Isn't Paying His Debts, U.S. Says",bloomberg,"Jordan Belfort, the ""Wolf of Wall Street,"" isn't just a con, but also a deadbeat, prosecutors say, and they want him to pay up.",,,
5,Trump Tower Meeting: Key Moments From the Senate Documents,bloomberg,Transcripts released Wednesday are shedding new light on the June 2016 meeting.,,,
3,Wall Street Needs a New Tom Wolfe: John Micklethwait,bloomberg,He captured the spirit of the new Gilded Age. Few writers followed-perhaps because reality has overtaken fiction.,,,
4,Home Capital Receives New Credit Line as Buffett Backing Expires,bloomberg,"Home Capital Group Inc., the Canadian alternative lender that was bailed out by Warren Buffett's Berkshire Hathaway Inc., received a commitment for a new credit line from two banks as backing from the billionaire investor expires next month.",,,
4,"The $1,300 U.S. Rental Home Is So Hot the Canadians Are Bidding for It",bloomberg,"Last quarter, Tricon Capital Group Inc. used proprietary software to scrape 100,000 house listings in the U.S. Sunbelt states. It put offers on 1,500 and ended up buying about 400. This quarter, the Canadian firm expects to buy up to 600 more.",,,
4,Canadian Manufacturing Sales Post Back-to-Back Gains,bloomberg,"Canadian factory sales posted strong gains for a second month in March, adding to evidence the economy is building some momentum after a slow start to the year.",,,
5,A Method to the Political Madness,bloomberg,Stress-testing arguments is the mission of a new video series from Bloomberg Opinion.,,,
4,Companies Can't Hold the Line on U.S. Wages Much Longer,bloomberg,"Workers are leaving their jobs at a faster rate, confident they can obtain bigger paycheks elsewhere.",,,
